Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
153,Tekken 2,PS,1996.0,Fighting,Sony Computer Entertainment,2.26,1.89,1.36,0.23,5.74
9264,Alone in the Dark: Inferno,PS3,2008.0,Adventure,Atari,0.09,0.03,0.0,0.02,0.14
11921,Monster Rancher Battle Card: Episode II,PS,2000.0,Action,Tecmo Koei,0.04,0.03,0.0,0.0,0.07
15356,Demolition Company: Gold Edition,PC,2011.0,Simulation,,0.0,0.02,0.0,0.0,0.02
10568,Cabela's Adventure Camp,X360,2011.0,Misc,Activision,0.07,0.02,0.0,0.01,0.1
705,Borderlands 2,PS3,2012.0,Shooter,Take-Two Interactive,1.05,0.77,0.1,0.36,2.28
1014,Dance Dance Revolution X,PS2,2008.0,Simulation,Konami Digital Entertainment,0.85,0.66,0.01,0.22,1.75
7935,Doctor Who: Return to Earth,Wii,2010.0,Adventure,Asylum Entertainment,0.0,0.16,0.0,0.02,0.19
4653,Jimmy Neutron: Boy Genius,GBA,2001.0,Platform,THQ,0.3,0.11,0.0,0.01,0.42
15322,Wakeboarding Unleashed Featuring Shaun Murray,GBA,2003.0,Sports,Aspyr,0.01,0.01,0.0,0.0,0.02
6788,Gallop Racer (JP),PS,1996.0,Sports,Tecmo Koei,0.04,0.03,0.16,0.02,0.24
4966,Hooked! Again: Real Motion Fishing,Wii,2009.0,Sports,505 Games,0.36,0.0,0.0,0.03,0.39
2912,NCAA Football 08,X360,2007.0,Sports,Electronic Arts,0.65,0.0,0.0,0.05,0.7
3779,Jampack Vol. 2,PS,1996.0,Misc,Sony Computer Entertainment,0.3,0.2,0.0,0.03,0.53
3385,Hot Wheels: Stunt Track Challenge,PS2,2004.0,Racing,THQ,0.29,0.23,0.0,0.08,0.59
7161,Time Crisis: Crisis Zone,PS2,2004.0,Shooter,Namco Bandai Games,0.11,0.09,0.0,0.03,0.22
630,Final Fantasy V,SNES,1992.0,Role-Playing,SquareSoft,0.0,0.0,2.43,0.02,2.45
5653,Tetris 2 + Bombliss,NES,1991.0,Puzzle,BPS,0.0,0.0,0.32,0.0,0.32
11661,"Ni Hao, Kai-lan: Super Game Day",PS2,2009.0,Misc,Take-Two Interactive,0.04,0.03,0.0,0.01,0.08
5515,Disgaea 2: Cursed Memories,PS2,2006.0,Role-Playing,Tecmo Koei,0.09,0.07,0.15,0.02,0.33
7009,Sword Art Online: Lost Song,PS4,2015.0,Role-Playing,Namco Bandai Games,0.09,0.1,0.0,0.04,0.23
5661,Riven: The Sequel to Myst,PS,1997.0,Adventure,Acclaim Entertainment,0.18,0.12,0.0,0.02,0.32
1118,Tom Clancy's Rainbow Six,PS,1999.0,Shooter,Red Storm Entertainment,0.93,0.63,0.0,0.08,1.64
7605,Speed Punks,PS,1998.0,Racing,Sony Computer Entertainment,0.11,0.08,0.0,0.01,0.2
699,Pro Evolution Soccer 2010,PS3,2009.0,Sports,Konami Digital Entertainment,0.3,1.27,0.46,0.26,2.28
14345,Dodge Racing: Charger vs Challenger,DS,2009.0,Racing,Zushi Games,0.03,0.0,0.0,0.0,0.03
2613,Star Ocean: The Last Hope,X360,2009.0,Role-Playing,Square Enix,0.32,0.2,0.21,0.06,0.79
7167,Skies of Arcadia Legends,GC,2002.0,Role-Playing,Atari,0.17,0.04,0.0,0.01,0.22
15766,Divinity: Original Sin,PC,2014.0,Role-Playing,Focus Home Interactive,0.0,0.02,0.0,0.0,0.02
7641,Schlag den Raab,Wii,2010.0,Misc,Namco Bandai Games,0.0,0.17,0.0,0.03,0.2
15896,Hiiro no Kakera Portable,PSP,2008.0,Adventure,Idea Factory,0.0,0.0,0.02,0.0,0.02
3685,American Idol,PS2,2003.0,Misc,Codemasters,0.27,0.21,0.0,0.07,0.55
3387,London 2012: The Official Video Game of the Olympic Games,X360,2012.0,Sports,Sega,0.07,0.46,0.0,0.07,0.59
3253,Pro Evolution Soccer 2015,PS3,2014.0,Sports,Konami Digital Entertainment,0.1,0.23,0.22,0.08,0.62
1064,Dragon Age: Origins,PS3,2009.0,Role-Playing,Electronic Arts,0.96,0.44,0.08,0.22,1.69
16014,Tom Clancy's  Ghost Recon Advanced Warfighter (weekly JP sales),X360,2006.0,Shooter,Ubisoft,0.0,0.0,0.01,0.0,0.01
1819,Moon Patrol,2600,1982.0,Shooter,Atari,1.05,0.06,0.0,0.01,1.12
5818,RPG Tsukuru 2,SNES,1996.0,Role-Playing,ASCII Entertainment,0.0,0.0,0.31,0.0,0.31
14031,True Pinball,PS,1996.0,Misc,Ocean,0.02,0.01,0.0,0.0,0.04
5340,Street Fighter Alpha: Warriors' Dreams,SAT,1996.0,Fighting,Capcom,0.0,0.0,0.35,0.0,0.35
14570,Oumagatoki: Kaidan Romance,PSP,2012.0,Action,Quinrose,0.0,0.0,0.03,0.0,0.03
2043,Bayonetta 2,WiiU,2014.0,Action,Nintendo,0.34,0.28,0.1,0.3,1.01
9492,Rally Fusion: Race of Champions,PS2,2002.0,Racing,Activision,0.06,0.05,0.0,0.02,0.13
12209,Karaoke Revolution Party,XB,2005.0,Misc,Konami Digital Entertainment,0.05,0.01,0.0,0.0,0.07
15091,RayCrisis: Series Termination,PS,1999.0,Shooter,JVC,0.01,0.01,0.0,0.0,0.02
3008,100 Classic Books,DS,2008.0,Misc,Nintendo,0.13,0.52,0.0,0.02,0.67
10029,Every Extend Extra,PSP,2006.0,Shooter,Disney Interactive Studios,0.1,0.01,0.0,0.01,0.11
8676,Arcade Zone,Wii,2009.0,Misc,Activision,0.14,0.0,0.0,0.01,0.16
10432,Derby Stallion P,PSP,2006.0,Sports,Enterbrain,0.0,0.0,0.1,0.0,0.1
16182,Sega Golf Club: Miyazato San Kyoudai Naizou,PS3,2006.0,Sports,Sega,0.0,0.0,0.01,0.0,0.01
4061,One Piece: Grand Battle!,PS,2001.0,Fighting,Atari,0.0,0.0,0.46,0.03,0.49
6168,Hannah Montana: Spotlight World Tour,PS2,2008.0,Action,Disney Interactive Studios,0.12,0.02,0.0,0.14,0.28
7899,Phantasy Star Universe,PS2,2006.0,Role-Playing,Sega,0.0,0.0,0.19,0.0,0.19
15931,Nurarihyon no Mago: Hyakki Ryouran Taisen,PS3,2011.0,Fighting,Konami Digital Entertainment,0.0,0.0,0.02,0.0,0.02
16465,Outdoors Unleashed: Alaska 3D,3DS,2011.0,Sports,Mastiff,0.01,0.0,0.0,0.0,0.01
12470,Grey's Anatomy: The Video Game,Wii,2009.0,Adventure,Ubisoft,0.05,0.01,0.0,0.0,0.06
10472,Who Wants to Be a Millionaire: 3rd Edition,Wii,2010.0,Misc,Ubisoft,0.1,0.0,0.0,0.01,0.1
16574,Grisaia no Kajitsu: La Fruit de la Grisaia,PSP,2013.0,Adventure,Prototype,0.0,0.0,0.01,0.0,0.01
13018,TNA iMPACT: Cross the Line,PSP,2010.0,Fighting,SouthPeak Games,0.05,0.0,0.0,0.0,0.05
14941,Stake: Fortune Fighters,XB,2003.0,Fighting,Metro 3D,0.02,0.01,0.0,0.0,0.02
9650,Power Pro Kun Pocket 13,DS,2010.0,Sports,Konami Digital Entertainment,0.0,0.0,0.13,0.0,0.13
14190,Crimson Tears,PS2,2004.0,Role-Playing,Capcom,0.02,0.01,0.0,0.0,0.03
9261,Marvel vs. Capcom 2: New Age of Heroes,XB,2002.0,Fighting,Capcom,0.09,0.03,0.01,0.0,0.14
2211,SaGa Frontier 2,PS,1999.0,Role-Playing,SquareSoft,0.1,0.07,0.71,0.06,0.94
4911,Dancing with the Stars: We Dance!,DS,2008.0,Misc,Activision,0.36,0.0,0.0,0.03,0.39
10596,Blue Dragon: Awakened Shadow,DS,2009.0,Role-Playing,Namco Bandai Games,0.06,0.0,0.03,0.0,0.1
2365,NBA 2K6,PS2,2005.0,Action,Take-Two Interactive,0.43,0.34,0.0,0.11,0.88
9303,Kororinpa: Marble Mania,Wii,2006.0,Puzzle,Nintendo,0.08,0.02,0.03,0.01,0.14
12657,The Saboteur,PC,2009.0,Action,Electronic Arts,0.0,0.05,0.0,0.01,0.06
16355,Juiced 2: Hot Import Nights,PC,2007.0,Racing,THQ,0.0,0.01,0.0,0.0,0.01
13955,Warriors Orochi 3,XOne,2014.0,Action,Tecmo Koei,0.01,0.03,0.0,0.0,0.04
7108,Valhalla Knights 2,PSP,2008.0,Role-Playing,Rising Star Games,0.09,0.0,0.12,0.01,0.23
6022,FIFA Soccer 13,3DS,2012.0,Action,Electronic Arts,0.06,0.2,0.0,0.03,0.29
11102,Momu-chan Diet Wii: Figurobics by Chon Dayon,Wii,2010.0,Misc,Hudson Soft,0.0,0.0,0.09,0.0,0.09
12292,XGRA: Extreme G Racing Association,PS2,2003.0,Racing,Acclaim Entertainment,0.03,0.02,0.0,0.01,0.06
2795,The Sims 2: Castaway,DS,2007.0,Simulation,Electronic Arts,0.63,0.05,0.0,0.06,0.73
13209,Super Bust-A-Move,GBA,2001.0,Puzzle,Ubisoft,0.03,0.01,0.0,0.0,0.05
451,Dragon Ball Z: Budokai,PS2,2002.0,Fighting,Atari,2.17,0.28,0.55,0.08,3.09
5248,Frogs And Flies,2600,1981.0,Action,Mattel Interactive,0.33,0.02,0.0,0.0,0.36
9538,Namco Soccer Prime Goal,PS,1995.0,Sports,Sony Computer Entertainment,0.0,0.0,0.12,0.01,0.13
1266,Rock Band 2,PS3,2008.0,Misc,MTV Games,1.13,0.2,0.0,0.16,1.5
7856,Sudeki,XB,2004.0,Role-Playing,Microsoft Game Studios,0.14,0.04,0.0,0.01,0.19
11133,Ikaruga,GC,2003.0,Shooter,Atari,0.07,0.02,0.0,0.0,0.09
2160,Star Soldier,NES,1986.0,Shooter,Hudson Soft,0.32,0.06,0.57,0.01,0.96
7446,NCAA Football 2003,GC,2002.0,Sports,Electronic Arts,0.16,0.04,0.0,0.01,0.21
1045,Deal or No Deal,DS,2007.0,Misc,Mindscape,1.15,0.41,0.0,0.15,1.71
3661,Barbie Horse Adventures: Riding Camp,DS,2008.0,Sports,Activision,0.51,0.0,0.0,0.04,0.55
7090,pro evolution soccer 2011,Wii,2010.0,Sports,Konami Digital Entertainment,0.08,0.1,0.03,0.02,0.23
13903,Tokumei Sentai Go-Busters,DS,2012.0,Action,Namco Bandai Games,0.0,0.0,0.04,0.0,0.04
9142,Gretzky NHL 06,PS2,2005.0,Sports,Sony Computer Entertainment,0.07,0.05,0.0,0.02,0.14
7983,La Pucelle: Tactics,PS2,2002.0,Role-Playing,Tecmo Koei,0.09,0.07,0.0,0.02,0.19
4580,Medal of Honor: Rising Sun,GC,2003.0,Shooter,Electronic Arts,0.33,0.09,0.0,0.01,0.42
14795,AMNESIA World,PSV,2014.0,Adventure,Idea Factory,0.0,0.0,0.03,0.0,0.03
10285,Digimon Story: Cyber Sleuth,PS4,2016.0,Role-Playing,Namco Bandai Games,0.0,0.09,0.0,0.02,0.11
16148,Mystery Legends: Beauty and the Beast,PC,2012.0,Puzzle,Focus Multimedia,0.0,0.01,0.0,0.0,0.01
6643,A. IV Evolution: A Ressha de Ikou 4,PS,1994.0,Strategy,ArtDink,0.0,0.0,0.24,0.02,0.25
2097,Scooby-Doo! First Frights,Wii,2009.0,Action,Warner Bros. Interactive Entertainment,0.88,0.05,0.0,0.07,0.99
6173,Remington Super Slam Hunting: Africa,Wii,2010.0,Sports,Mastiff,0.27,0.0,0.0,0.02,0.28
9350,Hisshou Pachinko*Pachi-Slot Kouryaku Series Vol. 1: CR Shinseiki Evangelion,PS2,2005.0,Misc,D3Publisher,0.0,0.0,0.13,0.0,0.13
5630,Prince of Persia: The Sands of Time,GC,2003.0,Action,Ubisoft,0.25,0.06,0.0,0.01,0.32
15932,Minna to Issho,PSV,2011.0,Misc,Sony Computer Entertainment,0.0,0.0,0.02,0.0,0.02
8420,Blood Bowl,X360,2009.0,Sports,Focus Home Interactive,0.13,0.03,0.0,0.01,0.17
9343,MLB Power Pros 2008,Wii,2008.0,Sports,Konami Digital Entertainment,0.12,0.0,0.01,0.01,0.13
6558,Peter Jackson's King Kong: The Official Game of the Movie,X360,2005.0,Action,Ubisoft,0.2,0.03,0.0,0.02,0.26
12149,Ragnarok: Hikari to Yami no Koujo,PSP,2011.0,Role-Playing,GungHo,0.02,0.0,0.05,0.0,0.07
3009,Unreal Tournament III,PS3,2007.0,Shooter,Midway Games,0.33,0.24,0.0,0.11,0.67
710,Kirby: Nightmare in Dream Land,GBA,2002.0,Platform,Nintendo,1.22,0.1,0.91,0.04,2.27
14940,The Idolmaster: Gravure For You! Vol.7,PS3,2012.0,Action,Namco Bandai Games,0.0,0.0,0.02,0.0,0.02
6221,Sesame Street: Cookie's Counting Carnival,DS,2010.0,Misc,Warner Bros. Interactive Entertainment,0.26,0.0,0.0,0.02,0.28
8692,Infected,PSP,2005.0,Shooter,THQ,0.14,0.0,0.0,0.01,0.16
15194,Serious Sam: Next Encounter,GC,2004.0,Shooter,Global Star,0.02,0.0,0.0,0.0,0.02
2068,UFC Undisputed 3,X360,2012.0,Action,THQ,0.72,0.21,0.0,0.07,1.0
3271,Bass Landing,PS,1999.0,Sports,ASCII Entertainment,0.21,0.14,0.23,0.04,0.62
3524,Tomb Raider: Anniversary,PSP,2007.0,Action,Eidos Interactive,0.21,0.23,0.0,0.13,0.57
8346,Time and Eternity,PS3,2012.0,Role-Playing,Nippon Ichi Software,0.06,0.03,0.06,0.02,0.17
10472,Who Wants to Be a Millionaire: 3rd Edition,Wii,2010.0,Misc,Ubisoft,0.1,0.0,0.0,0.01,0.1
4212,NHL 15,X360,2014.0,Sports,Electronic Arts,0.35,0.07,0.0,0.04,0.47
3726,Dragon Quest Characters: Torneko no Daibouken 3: Fushigi no Dungeon,PS2,2002.0,Role-Playing,Enix Corporation,0.0,0.0,0.54,0.0,0.54
4020,Cars Mater-National Championship,Wii,2007.0,Racing,THQ,0.46,0.0,0.0,0.04,0.49
4611,Star Wars Trilogy: Apprentice of the Force,GBA,2004.0,Action,Ubisoft,0.3,0.11,0.0,0.01,0.42
6356,Stuntman: Ignition,PS2,2007.0,Racing,THQ,0.13,0.1,0.0,0.03,0.27
12244,Walt Disney Pictures Presents Enchanted,DS,2007.0,Platform,Disney Interactive Studios,0.04,0.01,0.0,0.01,0.07
8644,Racing Lagoon,PS,1999.0,Racing,Square,0.0,0.0,0.15,0.01,0.16
4370,FIFA 15,3DS,2014.0,Sports,Electronic Arts,0.09,0.33,0.0,0.03,0.45
11625,Deep Fear,SAT,1998.0,Adventure,Sega,0.0,0.0,0.08,0.0,0.08
7411,Brunswick Pro Bowling,PSP,2007.0,Sports,505 Games,0.19,0.0,0.0,0.02,0.21
6974,LEGO Marvel's Avengers,PSV,2016.0,Action,Warner Bros. Interactive Entertainment,0.07,0.11,0.0,0.05,0.23
12153,Imagine: Gymnast,DS,2008.0,Simulation,Ubisoft,0.05,0.01,0.0,0.0,0.07
11348,America's Next Top Model,Wii,2010.0,Action,Crave Entertainment,0.08,0.0,0.0,0.01,0.08
11320,Bomberman Jetters,GC,2002.0,Puzzle,Hudson Soft,0.06,0.02,0.0,0.0,0.08
3105,Wall-E,PSP,2008.0,Platform,THQ,0.29,0.22,0.0,0.14,0.65
5000,The Cat in the Hat,GBA,2005.0,Platform,Jack of All Games,0.27,0.1,0.0,0.01,0.38
9183,Desire,SAT,1997.0,Adventure,Imadio,0.0,0.0,0.14,0.0,0.14
8214,Army Men: Sarge's Heroes 2,PS2,2001.0,Shooter,Midas Interactive Entertainment,0.09,0.07,0.0,0.02,0.17
9026,Haunted House,Wii,2010.0,Action,Atari,0.13,0.0,0.0,0.01,0.14
1912,Spore Creatures,DS,2008.0,Simulation,Electronic Arts,0.67,0.3,0.0,0.11,1.08
11266,Natural Doctrine,PSV,2014.0,Role-Playing,Nippon Ichi Software,0.03,0.02,0.03,0.01,0.08
1274,Buzz! The BIG Quiz,PS2,2006.0,Misc,Sony Computer Entertainment,0.0,1.1,0.0,0.39,1.49
3160,Rayman 2: The Great Escape,N64,1999.0,Platform,Ubisoft,0.4,0.22,0.0,0.02,0.64
14739,Dragon Tamer: Sound Spirit,DS,2007.0,Role-Playing,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03
15735,Elkrone no Atelier: Dear for Otomate,PSP,2012.0,Action,Idea Factory,0.0,0.0,0.02,0.0,0.02
2511,Star Wars The Clone Wars: Republic Heroes,Wii,2009.0,Action,LucasArts,0.44,0.3,0.0,0.08,0.82
3757,Star Wars Battlefront (2015),PC,2015.0,Shooter,Electronic Arts,0.13,0.37,0.0,0.04,0.54
6557,Avatar: The Last Airbender - The Burning Earth,Wii,2007.0,Action,THQ,0.24,0.0,0.0,0.02,0.26
12756,Fate/Stay Night [Réalta Nua],PSV,2012.0,Adventure,Kadokawa Shoten,0.0,0.0,0.06,0.0,0.06
5149,Shin Megami Tensei II,SNES,1994.0,Role-Playing,Atlus,0.0,0.0,0.37,0.0,0.37
12598,I Am In The Movie,PSP,2012.0,Simulation,Namco Bandai Games,0.0,0.0,0.06,0.0,0.06
1411,Gardening Mama,DS,2009.0,Puzzle,505 Games,0.8,0.43,0.01,0.13,1.38
12330,Steambot Chronicles: Battle Tournament,PSP,2008.0,Fighting,Irem Software Engineering,0.05,0.0,0.01,0.0,0.06
1032,Crash Bandicoot: The Huge Adventure,GBA,2002.0,Platform,Universal Interactive,0.95,0.7,0.0,0.08,1.73
2883,Power Rangers: Dino Thunder,PS2,2004.0,Action,THQ,0.35,0.27,0.0,0.09,0.71
11124,Test Drive: Eve of Destruction,XB,2004.0,Racing,Atari,0.07,0.02,0.0,0.0,0.09
14070,Crazy Machines,DS,2008.0,Puzzle,DTP Entertainment,0.0,0.03,0.0,0.0,0.04
3504,NCAA Football 10,PS2,2009.0,Sports,Electronic Arts,0.28,0.22,0.0,0.07,0.58
9421,Tomb Raider: Legend,XB,2006.0,Action,Eidos Interactive,0.1,0.03,0.0,0.0,0.13
